기업상태,기업명,기업코드,연도,종목코드,보고기간,산업군,총자산증가율,유동자산증가율,매출액증가율,순이익증가율,영업이익증가율,매출액순이익률,매출총이익률,자기자본순이익률 (ROE),매출채권회전율,재고자산회전율,총자본회전율,유형자산회전율,매출원가율,부채비율,유동비율,자기자본비율,당좌비율,비유동자산장기적합률,순운전자본비율,차입금의존도,현금비율,유형자산_총자산비율,무형자산_총자산비율,무형자산상각비_총자산비율,유형자산상각비_총자산비율,감가상각비_총자산비율,총자본영업이익률,총자본순이익률,유보액/납입자본비율,총자본투자효율,period_Q1,period_H1,period_Q3,period_ANNUAL,총자산증가율_missing,유동자산증가율_missing,매출액증가율_missing,순이익증가율_missing,영업이익증가율_missing,매출액순이익률_missing,매출총이익률_missing,자기자본순이익률 (ROE)_missing,매출채권회전율_missing,재고자산회전율_missing,총자본회전율_missing,유형자산회전율_missing,매출원가율_missing,부채비율_missing,유동비율_missing,자기자본비율_missing,당좌비율_missing,비유동자산장기적합률_missing,순운전자본비율_missing,차입금의존도_missing,현금비율_missing,유형자산_총자산비율_missing,무형자산_총자산비율_missing,무형자산상각비_총자산비율_missing,유형자산상각비_총자산비율_missing,감가상각비_총자산비율_missing,총자본영업이익률_missing,총자본순이익률_missing,유보액/납입자본비율_missing,총자본투자효율_missing,label
상장,003800,00140052,2015,003800,ANNUAL,Consumer Discretionary,,,,,,15.8011471517,54.369632696,8.7038986647,13.7856802174,3.8437487139,0.5041908419,0.9303770356,45.630367304,9.2522162363,389.6449338264,91.5313239813,298.0562911618,,18.9285890944,0.0,97.2420793117,54.1920987558,0.3122830599,0.0,0.0,0.0,8.9906651628,7.9667936858,3138.6064839315,0.0796679369,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
상장,003800,00140052,2016,003800,ANNUAL,Consumer Discretionary,5.8650026826,-6.4593201215,5.665017934,-0.5869601313,4.1488869911,14.86622633,55.7669645371,8.1607728728,13.7158179778,3.5090223298,0.503238398,0.8531266229,44.2330354629,9.0829261464,364.0351686022,91.6733750485,261.3971464351,,16.3187874391,0.0,114.3772333311,58.9875388326,0.3095777436,0.0,0.0,0.0,8.844922744,7.4812559225,3359.9314501713,0.082341653,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
상장,003800,00140052,2017,003800,ANNUAL,Consumer Discretionary,5.2417889442,-20.8186728559,1.1938938559,-12.7042046526,-12.1680994367,12.8244798361,55.8646730542,6.7303178257,10.1492277846,3.5583281944,0.4838824344,0.7834869879,44.1353269458,8.4565929638,276.1829556077,92.2027857111,178.2625798774,,10.7986887401,0.0,82.565421295,61.7601111244,0.2661469564,0.0,0.0,0.0,7.3817290901,6.2055405225,3545.1543176195,0.0692116543,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
상장,003800,00140052,2018,003800,ANNUAL,Consumer Discretionary,12.0241976284,1.9396949844,9.5507245737,14.6836623815,28.0527566366,13.425363652,57.5310983243,7.0223546085,11.1714362449,3.7338373563,0.4731984019,0.7300203597,42.4689016757,10.5384648399,225.1177361604,90.4662464282,146.4615069753,,8.5613974269,0.0,64.9090833736,64.8198910606,0.0505220586,0.0,0.0,0.0,8.4379159033,6.3528606252,3867.2111296123,0.0714933459,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
상장,003800,00140052,2019,003800,ANNUAL,Consumer Discretionary,8.5964824608,0.7721895807,22.8858167636,45.879614261,23.9823754502,15.9374525266,61.3902046976,9.43734441,13.0903950161,3.9061574665,0.5354627589,0.7980181755,38.6097953024,10.921346837,209.846351872,90.4270516118,132.146888793,,7.4824641383,0.0,50.5233012712,67.099068086,0.0405558073,0.0,0.0,0.0,9.6333954272,8.5339123004,4199.6627865194,0.0899237145,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
상장,003800,00140052,2020,003800,ANNUAL,Consumer Discretionary,11.1610211644,35.4068196268,4.3488764187,11.5598249679,-1.1814069888,17.03879788,60.2054868726,9.7304266205,9.8958530956,4.0041361104,0.5026486503,0.7562869811,39.7945131274,13.6130999796,202.5680427671,88.0180190647,144.4512850973,,8.8163652849,0.0,50.586499079,66.4626871656,0.0349297604,0.0,0.0,0.0,8.5637804696,8.5645287579,4569.3631640848,0.0939137587,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
상장,003800,00140052,2021,003800,ANNUAL,Consumer Discretionary,11.5667746752,35.1386944786,19.6464727945,29.511890335,55.6103675321,18.4437273489,61.8914618396,11.3547361064,15.0604576126,3.6483426876,0.5390506111,0.8900217962,38.1085381604,14.2086003224,187.0145572406,87.5590802424,137.08722736,,9.8131803778,0.0,71.949363797,60.5660011297,0.0071680909,0.0,0.0,0.0,11.9445330406,9.9421024987,5070.7489166276,0.1038975736,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
상장,003800,00140052,2022,003800,ANNUAL,Consumer Discretionary,6.681787561,17.9090667827,-0.0386417753,-14.8357954069,-14.8741008859,15.7135256793,61.1927989923,8.8513613511,13.6070481198,3.8616040318,0.5050930667,0.8094506827,38.8072010077,11.5231491077,241.3550398133,89.667482312,188.7990570598,,13.6522780181,0.0,53.3802006012,62.3994861567,0.0033036534,0.0,0.0,0.0,9.5310468434,7.9367928739,5525.6480944545,0.0869733803,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
상장,003800,00140052,2023,003800,ANNUAL,Consumer Discretionary,4.5463122674,-9.0621738534,-11.5025156632,-5.4891011578,-12.7112966196,16.7812616037,64.0729883717,7.8778687693,13.0520785324,3.5328303249,0.4275565994,0.6398928383,35.9270116283,9.7970116433,239.5506959236,91.0771600277,188.1814349595,,11.8119232972,0.0,62.2600475139,66.8169064976,0.0060838136,0.0,0.0,0.0,7.9577433462,7.1749391458,5869.5085286294,0.077632751,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
상장,003800,00140052,2024,003800,ANNUAL,Consumer Discretionary,9.1786517728,25.9765351087,6.3891726793,28.1776262282,16.1404386339,20.2180562487,64.4263698253,9.3260545675,14.3142550772,4.0394886062,0.4166326672,0.6736643435,35.5736301747,10.7146860301,253.9583505269,90.3222540619,214.1311634295,,14.1833471421,0.0,69.786354127,61.8457353739,0.0046223243,0.0,0.0,0.0,8.4651695891,8.4235027004,6357.8615118575,0.085446818,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
